gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLCH2,15.88540196292205,1.1928419627680455,0.6727295104646035,1.773137560063687,0.07620591548074541,0.17277163176294855
PANK4,503.1326938850653,-0.04085300122075466,0.12740230782973735,-0.32066139080738876,0.7484670090314598,0.8605163571247828
HES5,2.82668021874689,0,1.916112467839959,0,1,NA
TNFRSF14,178.0575014592821,0,1.6742045878002094,0,1,1
PRXL2B,463.2456032724572,0.7910690143063378,0.1335767517774495,5.922205801383221,3.176517445322772e-9,7.307431811433898e-8
MMEL1,0.08321081208239692,0,4.407356323966969,0,1,NA
TTC34,10.752010324753085,-0.15405217668674298,0.6171472328552422,-0.2496198127212172,0.8028813751982318,0.9000084180806718
ACTRT2,0.0778688197733188,0.9673219999581913,4.407356323966969,0.219478963998882,0.8262769646979895,NA
PRDM16-DT,0.2509101998612351,0,4.40735632394523,0,1,NA
PRDM16,0.4094957136918856,0.005558728124955905,3.0218625447634517,0.0018395039624117106,0.99853228901659,NA
ARHGEF16,403.2776181180103,-0.24118931125433107,0.15389025625960803,-1.5672812373998017,0.11704896900878552,0.23954867062551718
MEGF6,6.782099162565111,0.7023950881853538,0.776803213352089,0.9042123875290801,0.3658827928876742,0.543151359504886
TPRG1L,1586.0980804027208,-0.7443745008258135,0.1530494392329287,-4.863621223028047,1.1525738148200823e-6,1.4605031190128478e-5
WRAP73,417.51249128892874,-0.1390618082742394,0.14805700383338133,-0.9392450520661295,0.3476049430249943,0.5234902212179917
TP73,0.905980559086472,-0.896091763146502,1.875784125261179,-0.4777158261864129,0.6328524785145381,NA
CCDC27,0.5988986902719875,1.7011899312692866,2.910210471474687,0.5845590715668221,0.5588442346879583,NA
SMIM1,13.168990706649128,0.7274261345208117,0.5298069781693083,1.3730021771973548,0.1697516698588175,0.31632890831779154
